Enterococcus faecium	1352	PRJNA520784	520784	Terrabacteria group	Bacillota	2.9192	37.8567	chromosome:NZ_CP038996.1/CP038996.1; plasmid pSRR24:NZ_CP038997.1/CP038997.1	-	2	2881	2708	2020/02/03	2022/02/18	Complete Genome	Zhejiang University	SAMN10867607	GCA_009734005.2	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/734/005/GCF_009734005.1_ASM973400v2	31742612	SRR24
Enterococcus casseliflavus EC20	565655	PRJNA32935	32935	Terrabacteria group	Bacillota	3.42728	42.8	chromosome:NC_020995.1/CP004856.1	-	1	3190	3086	2013/04/11	2022/04/14	Complete Genome	Broad Institute	SAMN02596921	GCA_000157355.2	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/157/355/GCA_000157355.2_ASM15735v2	-	EC20
Enterococcus hirae	1354	PRJNA231221	231221	Terrabacteria group	Bacillota	2.84565	37	chromosome:NZ_CP023011.2/CP023011.2	-	1	2579	2460	2017/08/30	2022/01/15	Complete Genome	US Food and Drug Administration 	SAMN04875571	GCA_002278015.2	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/278/015/GCF_002278015.2_ASM227801v2	-	FDAARGOS_234
Enterococcus durans	53345	PRJNA397225	397225	Terrabacteria group	Bacillota	2.98893	37.9905	chromosome:NZ_CP022930.1/CP022930.1; plasmid pEdBDGP3A:NZ_CP022931.1/CP022931.1	-	2	2799	2663	2017/08/30	2022/01/15	Complete Genome	Lawrence Berkeley National Laboratory	SAMN07510606	GCA_002277935.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/935/GCF_002277935.1_ASM227793v1	-	BDGP3
Enterococcus mundtii	53346	PRJNA353761	353761	Terrabacteria group	Bacillota	3.50453	38.2237	chromosome:NZ_CP018061.1/CP018061.1; plasmid pLDW-8:NZ_CP018062.1/CP018062.1	-	2	3262	3120	2017/12/07	2022/10/16	Complete Genome	Kyungpook National University	SAMN06020033	GCA_002813755.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/813/755/GCF_002813755.1_ASM281375v1	-	DSM 4838
Enterococcus cecorum	44008	PRJEB6403	251923	Terrabacteria group	Bacillota	2.4216	36.6	chromosome 1:NZ_LS483306.1/LS483306.1	-	1	2447	2291	2018/06/17	2021/12/15	Complete Genome	Wellcome Sanger Institute	SAMEA3529272	GCA_900474605.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/605/GCA_900474605.1_41594_C01	-	NCTC12421
Enterococcus raffinosus	71452	PRJNA719983	719983	Terrabacteria group	Bacillota	4.25584	39.5619	chromosome:NZ_CP072888.1/CP072888.1; plasmid pF162_2_1:NZ_CP072889.1/CP072889.1; plasmid pF162_2_2:NZ_CP072890.1/CP072890.1	-	3	4119	3972	2021/07/08	2022/04/14	Complete Genome	University of Zurich	SAMN18631319	GCA_019175485.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/175/485/GCA_019175485.1_ASM1917548v1	-	F162_2
Enterococcus gilvus	160453	PRJNA480543	480543	Terrabacteria group	Bacillota	3.94532	41.8858	chromosome:NZ_CP030932.1/CP030932.1; plasmid pCR1A:NZ_CP030933.1/CP030933.1; plasmid pCR1B:NZ_CP030934.1/CP030934.1; plasmid pCR1C:NZ_CP030935.1/CP030935.1	-	4	3853	3716	2018/07/26	2022/03/04	Complete Genome	National Agriculture and Food Research Organization	SAMN09639249	GCA_003343305.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/343/305/GCF_003343305.1_ASM334330v1	-	CR1
Enterococcus sp. CR-Ec1	2057791	PRJNA420145	420145	Terrabacteria group	Bacillota	3.88985	42.2928	chromosome:NZ_CP025223.1/CP025223.1; plasmid pCREc1:NZ_CP025224.1/CP025224.1	-	2	3654	3535	2018/01/03	2022/01/06	Complete Genome	Korea Research Institute of Bioscience and Biotechnology (KRIBB)	SAMN08107558	GCA_002850555.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/850/555/GCF_002850555.1_ASM285055v1	-	CR-Ec1
Enterococcus thailandicus	417368	PRJNA400701	400701	Terrabacteria group	Bacillota	2.64625	36.8	chromosome:NZ_CP023074.1/CP023074.1	-	1	2502	2399	2017/09/12	2022/04/14	Complete Genome	Health Sciences North Research Institute	SAMN07572979	GCA_002290025.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/290/025/GCF_002290025.1_ASM229002v1	-	a523
